CustomerID,Amount,Quantity,frequency
12431.0,358.25,107,14
12433.0,1919.1400000000008,1852,73
12583.0,855.86,449,20
12662.0,261.48,157,15
12748.0,4.95,1,1
12791.0,192.60000000000002,97,2
12838.0,390.78999999999985,228,59
12868.0,203.3,112,12
12921.0,322.4,140,15
12947.0,304.03999999999996,184,17
13047.0,366.6300000000001,101,17
13065.0,205.85999999999999,74,14
13093.0,799.4000000000001,256,13
13255.0,225.7,110,6
13408.0,1024.6800000000003,544,11
13448.0,443.96000000000004,162,18
13468.0,360.05000000000007,111,20
13576.0,349.15000000000003,108,11
13694.0,842.12,1004,6
13705.0,318.14000000000004,103,10
13747.0,79.6,8,1
13748.0,204.0,80,1
13758.0,362.45000000000005,137,17
13767.0,507.8800000000001,260,14
13777.0,6585.16,3348,33
14001.0,301.24,94,9
14045.0,326.4,128,1
14078.0,136.24,29,13
14142.0,311.81000000000006,313,22
14237.0,161.00000000000003,38,9
14307.0,783.1099999999999,558,48
14496.0,304.34000000000003,86,5
14594.0,254.99999999999997,146,31
14606.0,198.32,93,40
14688.0,444.98,454,19
14696.0,294.61999999999995,284,18
14729.0,313.48999999999995,197,71
14849.0,355.8399999999999,188,17
14911.0,555.3799999999999,243,21
15012.0,188.5599999999999,84,52
15100.0,350.4,32,1
15165.0,487.75,160,27
15235.0,79.5,34,5
15291.0,328.8,112,2
15311.0,449.97999999999996,198,35
15350.0,115.65,51,5
15485.0,939.59,391,22
15513.0,357.0,116,3
15525.0,274.92999999999995,113,48
15605.0,194.85000000000002,71,12
15862.0,354.2299999999999,124,64
15922.0,369.50000000000006,138,11
15983.0,430.99,323,31
16029.0,3702.12,1676,8
16048.0,256.44000000000005,144,8
16098.0,430.59999999999997,134,12
16210.0,2474.7399999999993,1070,14
16218.0,471.29999999999995,438,28
16250.0,226.14,108,14
16274.0,331.5499999999999,151,63
16456.0,787.4,392,16
16539.0,442.35,301,21
16552.0,95.29,39,5
16583.0,233.45000000000002,111,14
16835.0,81.75,19,5
16928.0,116.25,93,6
16955.0,156.09999999999997,80,6
17025.0,160.97,139,5
17069.0,277.05,103,11
17181.0,155.52,216,2
17346.0,134.10999999999999,84,31
17377.0,223.90000000000003,102,15
17420.0,130.85,53,7
17460.0,19.9,2,1
17511.0,1825.74,1568,24
17572.0,70.80000000000001,24,4
17643.0,101.55000000000001,71,8
17690.0,376.80000000000007,170,14
17760.0,172.54,165,9
17809.0,34.8,24,1
17841.0,532.43,198,64
17850.0,1499.339999999999,474,84
17873.0,204.95,117,8
17897.0,163.33999999999997,71,34
17905.0,200.49999999999997,71,22
17908.0,232.02999999999992,169,54
17920.0,453.4599999999998,197,68
17924.0,279.0,60,2
17951.0,295.50000000000006,118,5
17968.0,265.09999999999997,151,81
18011.0,102.79,71,28
18074.0,489.6,190,13
18085.0,303.90000000000003,78,9
18144.0,165.04999999999998,95,3
18229.0,344.2,44,7
